home_team,away_team,home_goals,away_goals,date,attendance,venue,referee,result,home_form_goals_scored,home_form_goals_conceded,home_form_wins,home_form_draws,home_form_losses,home_form_matches,home_form_win_rate,away_form_goals_scored,away_form_goals_conceded,away_form_wins,away_form_draws,away_form_losses,away_form_matches,away_form_win_rate,season
Mannheim,Leverkusen,1,1,1988-07-22,,,Anton Matheis,draw,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,
Dortmund,Stuttgart,1,2,1988-07-22,,,Wilfried Heitmann,loss,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,
St Pauli,Nürnberg,0,1,1988-07-23,,,Peter Richmann,loss,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,
Werder Bremen,Hamburger SV,2,1,1988-07-23,,,Eugen Strigel,win,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,
Köln,Uerdingen,1,1,1988-07-23,,,Aron Schmidhuber,draw,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,
Hannover 96,Karlsruher,2,3,1988-07-23,,,Dieter Pauly,loss,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,
S'gart Kickers,Bochum,1,2,1988-07-23,,,Wolf-Günter Wiesel,loss,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,
Gladbach,Kaiserslautern,4,1,1988-07-23,,,Hans Fux,win,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,
Bayern Munich,Eint Frankfurt,3,0,1988-07-23,,,Kurt Witke,win,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,
Stuttgart,Hannover 96,2,1,1988-07-29,,,Karl-Josef Assenmacher,win,2.0,1.0,1,0,0,1,1.0,2.0,3.0,0,0,1,1,0.0,
Hamburger SV,Dortmund,0,0,1988-07-29,,,Heinz Werner,draw,1.0,2.0,0,0,1,1,0.0,1.0,2.0,0,0,1,1,0.0,
Karlsruher,Bayern Munich,2,2,1988-07-30,,,Gerd Zimmermann,draw,3.0,2.0,1,0,0,1,1.0,3.0,0.0,1,0,0,1,1.0,
Leverkusen,Gladbach,3,1,1988-07-30,,,Werner Föckler,win,1.0,1.0,0,1,0,1,0.0,4.0,1.0,1,0,0,1,1.0,
Kaiserslautern,Werder Bremen,0,0,1988-07-30,,,Joachim Kautschor,draw,1.0,4.0,0,0,1,1,0.0,2.0,1.0,1,0,0,1,1.0,
Bochum,St Pauli,0,0,1988-07-30,,,Siegfried Brehm,draw,2.0,1.0,1,0,0,1,1.0,0.0,1.0,0,0,1,1,0.0,
Eint Frankfurt,S'gart Kickers,1,2,1988-07-30,,,Hellmut Krug,loss,0.0,3.0,0,0,1,1,0.0,1.0,2.0,0,0,1,1,0.0,
Nürnberg,Köln,0,2,1988-07-30,,,Wolf-Günter Wiesel,loss,1.0,0.0,1,0,0,1,1.0,1.0,1.0,0,1,0,1,0.0,
Uerdingen,Mannheim,0,0,1988-07-30,,,Hans-Peter Dellwing,draw,1.0,1.0,0,1,0,1,0.0,1.0,1.0,0,1,0,1,0.0,
Dortmund,Kaiserslautern,1,1,1988-08-12,,,Manfred Amerell,draw,0.5,1.0,0,1,1,2,0.0,0.5,2.0,0,1,1,2,0.0,
St Pauli,Eint Frankfurt,2,0,1988-08-13,,,Wolfgang Mierswa,win,0.0,0.5,0,1,1,2,0.0,0.5,2.5,0,0,2,2,0.0,
Hannover 96,Hamburger SV,2,3,1988-08-13,,,Manfred Neuner,loss,1.5,2.5,0,0,2,2,0.0,0.5,1.0,0,1,1,2,0.0,
S'gart Kickers,Karlsruher,1,3,1988-08-13,,,Wolf-Rüdiger Umbach,loss,1.5,1.5,1,0,1,2,0.5,2.5,2.0,1,1,0,2,0.5,
Mannheim,Gladbach,4,1,1988-08-13,,,Wilfried Heitmann,win,0.5,0.5,0,2,0,2,0.0,2.5,2.0,1,0,1,2,0.5,
Werder Bremen,Leverkusen,3,1,1988-08-13,,,Hans Scheuerer,win,1.0,0.5,1,1,0,2,0.5,2.0,1.0,1,1,0,2,0.5,
Uerdingen,Nürnberg,3,2,1988-08-13,,,Edgar Steinborn,win,0.5,0.5,0,2,0,2,0.0,0.5,1.0,1,0,1,2,0.5,
Köln,Bochum,1,0,1988-08-16,,,Dieter Birlenbach,win,1.5,0.5,1,1,0,2,0.5,1.0,0.5,1,1,0,2,0.5,
Eint Frankfurt,Köln,1,0,1988-08-19,,,Gerd Zimmermann,win,0.3333333333333333,2.3333333333333335,0,0,3,3,0.0,1.3333333333333333,0.3333333333333333,2,1,0,3,0.6666666666666666,
Karlsruher,St Pauli,3,1,1988-08-19,,,Bodo Kriegelstein,win,2.6666666666666665,1.6666666666666667,2,1,0,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,1,1,1,3,0.3333333333333333,
Kaiserslautern,Hannover 96,0,0,1988-08-20,,,Rainer Boos,draw,0.6666666666666666,1.6666666666666667,0,2,1,3,0.0,1.6666666666666667,2.6666666666666665,0,0,3,3,0.0,
Stuttgart,S'gart Kickers,4,0,1988-08-20,,,Dieter Pauly,win,2.0,1.0,2,0,0,2,1.0,1.3333333333333333,2.0,1,0,2,3,0.3333333333333333,
Bochum,Uerdingen,1,1,1988-08-20,,,Markus Merk,draw,0.6666666666666666,0.6666666666666666,1,1,1,3,0.3333333333333333,1.3333333333333333,1.0,1,2,0,3,0.3333333333333333,
Leverkusen,Dortmund,2,0,1988-08-20,,,Kurt Witke,win,1.6666666666666667,1.6666666666666667,1,1,1,3,0.3333333333333333,0.6666666666666666,1.0,0,2,1,3,0.0,
Nürnberg,Mannheim,1,0,1988-08-20,,,Lothar Löwer,win,1.0,1.6666666666666667,1,0,2,3,0.3333333333333333,1.6666666666666667,0.6666666666666666,1,2,0,3,0.3333333333333333,
Hamburger SV,Bayern Munich,0,1,1988-08-20,,,Karl-Josef Assenmacher,loss,1.3333333333333333,1.3333333333333333,1,1,1,3,0.3333333333333333,2.5,1.0,1,1,0,2,0.5,
Gladbach,Werder Bremen,4,1,1988-08-20,,,Karl-Heinz Tritschler,win,2.0,2.6666666666666665,1,0,2,3,0.3333333333333333,1.6666666666666667,0.6666666666666666,2,1,0,3,0.6666666666666666,
Uerdingen,Eint Frankfurt,4,1,1988-08-26,,,Wolf-Rüdiger Umbach,win,1.25,1.0,1,3,0,4,0.25,0.5,1.75,1,0,3,4,0.25,
St Pauli,Stuttgart,2,1,1988-08-26,,,Klaus Broska,win,0.75,1.0,1,1,2,4,0.25,2.6666666666666665,0.6666666666666666,3,0,0,3,1.0,
Nürnberg,Bochum,3,1,1988-08-27,,,Wilfred Diekert,win,1.0,1.25,2,0,2,4,0.5,0.75,0.75,1,2,1,4,0.25,
S'gart Kickers,Hamburger SV,2,0,1988-08-27,,,Gerhard Theobald,win,1.0,2.5,1,0,3,4,0.25,1.0,1.25,1,1,2,4,0.25,
