0,1,2,_source,_url,_table_type,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Top Team Scorer,Goalkeeper,Notes,_table_id,Round,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,xG,xGA,xGD,xGD/90,Wk,xG.1
1.0,Oldřich Nejedlý • Czechoslovakia,5.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Angelo Schiavio • Italy,4.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edmund Conen • Germany,4.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Leopold Kielholz • Switzerland,3.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raimundo Orsi • Italy,3.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Antonín Puč • Czechoslovakia,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bernard Voorhoof • Belgium,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ernst Lehner • Germany,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sven Jonasson • Sweden,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johann Horvath • Austria,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,José Iraragorri • Spain,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Géza Toldi • Hungary,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giovanni Ferrari • Italy,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abdulrahman Fawzi • Egypt,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karl Hohmann • Germany,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giuseppe Meazza • Italy,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Bernard Voorhoof • Belgium,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Abdulrahman Fawzi • Egypt,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Leopold Kielholz • Switzerland,1.5,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Oldřich Nejedlý • Czechoslovakia,1.15,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Pál Teleki • Hungary,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jenő Vincze • Hungary,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rudolf Noack • Germany,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leônidas • Brazil,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Géza Toldi • Hungary,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ștefan Dobay • Romania,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sven Jonasson • Sweden,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,György Sárosi • Hungary,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aldo Donelli • United States,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johann Horvath • Austria,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Willy Jäggi • Switzerland,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alberto Galateo • Argentina,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ernesto Belis • Argentina,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edmund Conen • Germany,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leen Vente • Netherlands,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kick Smit • Netherlands,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karl Hohmann • Germany,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Georges Verriest • France,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,György Sárosi • Hungary,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,José Iraragorri • Spain,1.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,Oldřich Nejedlý • Czechoslovakia,5.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,Angelo Schiavio • Italy,4.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Edmund Conen • Germany,4.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,Leopold Kielholz • Switzerland,3.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raimundo Orsi • Italy,3.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Abdulrahman Fawzi • Egypt,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ernst Lehner • Germany,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sven Jonasson • Sweden,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Johann Horvath • Austria,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Géza Toldi • Hungary,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giovanni Ferrari • Italy,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karl Hohmann • Germany,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Giuseppe Meazza • Italy,2.0,1934_stats,https://fbref.com/en/comps/1/1934/1934-World-Cup-Stats,commented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
